ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
120303,"TV/ Movies: Born Jan 30, 1930, He starred in this movie: Shadow on the Land - 1968",gene hackman,,,,,,,,,
120304,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: The Tamarind Seed - 1974",julie andrews,,,,,,,,,
120305,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: Darling Lili - 1970",julie andrews,,,,,,,,,
120306,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: Star! - 1968",julie andrews,,,,,,,,,
120307,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: Thoroughly Modern Millie - 1967",julie andrews,,,,,,,,,
120308,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: Torn Curtain - 1966",julie andrews,,,,,,,,,
120309,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: Hawaii - 1966",julie andrews,,,,,,,,,
120310,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: The Sound of Music - 1965",julie andrews,,,,,,,,,
120311,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: The Americanization of Emily - 1964",julie andrews,,,,,,,,,
120312,"TV/ Movies: Born Oct 1, 1935, She starred in this movie: Mary Poppins - 1964",julie andrews,,,,,,,,,
120313,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Any Given Sunday - 1999",ann-margret,,,,,,,,,
120314,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Grumpier Old Men - 1995",ann-margret,,,,,,,,,
120315,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Grumpy Old Men - 1993",ann-margret,,,,,,,,,
120316,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Newsies - 1992",ann-margret,,,,,,,,,
120317,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Our Sons - 1991",ann-margret,,,,,,,,,
120318,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Return of the Soldier - 1983",ann-margret,,,,,,,,,
120319,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Twice in a Lifetime - 1985",ann-margret,,,,,,,,,
120320,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Who Will Love My Children? - 1983",ann-margret,,,,,,,,,
120321,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Middle Age Crazy - 1980",ann-margret,,,,,,,,,
120322,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Villain - 1979",ann-margret,,,,,,,,,
120323,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Magic - 1978",ann-margret,,,,,,,,,
120324,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Tommy - 1975",ann-margret,,,,,,,,,
120325,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Train Robbers - 1973",ann-margret,,,,,,,,,
120326,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Carnal Knowledge - 1971",ann-margret,,,,,,,,,
120327,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Tiger and the Pussycat - 1967",ann-margret,,,,,,,,,
120328,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Swinger - 1966",ann-margret,,,,,,,,,
120329,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Cincinnati Kid - 1965",ann-margret,,,,,,,,,
120330,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Once a Thief - 1965",ann-margret,,,,,,,,,
120331,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Bus Riley's Back in Town - 1965",ann-margret,,,,,,,,,
120332,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: The Pleasure Seekers - 1964",ann-margret,,,,,,,,,
120333,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Kitten With a Whip - 1964",ann-margret,,,,,,,,,
120334,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Viva Las Vegas - 1964",ann-margret,,,,,,,,,
120335,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: Bye Bye Birdie - 1963",ann-margret,,,,,,,,,
120336,"TV/ Movies: Born Apr 28, 1941, She starred in this movie: State Fair - 1962",ann-margret,,,,,,,,,
120337,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Diamonds - 1999",lauren bacall,,,,,,,,,
120338,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Line King: Al Hirschfeld - 1996",lauren bacall,,,,,,,,,
120339,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Mirror Has Two Faces - 1996",lauren bacall,,,,,,,,,
120340,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: My Fellow Americans - 1996",lauren bacall,,,,,,,,,
120341,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Ready To Wear (PrΩt-α-Porter) - 1994",lauren bacall,,,,,,,,,
120342,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: A Star for Two - 1991",lauren bacall,,,,,,,,,
120343,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: All I Want for Christmas - 1991",lauren bacall,,,,,,,,,
120344,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Innocent Victim - 1990",lauren bacall,,,,,,,,,
120345,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Misery - 1990",lauren bacall,,,,,,,,,
120346,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Tree of Hands - 1989",lauren bacall,,,,,,,,,
120347,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Dinner at Eight - 1989",lauren bacall,,,,,,,,,
120348,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Appointment With Death - 1988",lauren bacall,,,,,,,,,
120349,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Mr. North - 1988",lauren bacall,,,,,,,,,
120350,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Fan - 1981",lauren bacall,,,,,,,,,
120351,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: H.E.A.L.T.H. - 1979",lauren bacall,,,,,,,,,
120352,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Perfect Gentlemen - 1978",lauren bacall,,,,,,,,,
120353,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Shootist - 1976",lauren bacall,,,,,,,,,
120354,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Murder on the Orient Express - 1974",lauren bacall,,,,,,,,,
120355,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Harper - 1966",lauren bacall,,,,,,,,,
120356,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Sex and the Single Girl - 1965",lauren bacall,,,,,,,,,
120357,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Shock Treatment - 1964",lauren bacall,,,,,,,,,
120358,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Flame Over India - 1959",lauren bacall,,,,,,,,,
120359,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Gift of Love - 1958",lauren bacall,,,,,,,,,
120360,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Written on the Wind - 1957",lauren bacall,,,,,,,,,
120361,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Designing Woman - 1957",lauren bacall,,,,,,,,,
120362,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Cobweb - 1955",lauren bacall,,,,,,,,,
120363,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Blood Alley - 1955",lauren bacall,,,,,,,,,
120364,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Woman's World - 1954",lauren bacall,,,,,,,,,
120365,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: A Woman's World - 1954",lauren bacall,,,,,,,,,
120366,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: How To Marry a Millionaire - 1953",lauren bacall,,,,,,,,,
120367,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Young Man With a Horn - 1950",lauren bacall,,,,,,,,,
120368,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Bright Leaf - 1950",lauren bacall,,,,,,,,,
120369,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Key Largo - 1948",lauren bacall,,,,,,,,,
120370,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Dark Passage - 1947",lauren bacall,,,,,,,,,
120371,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: The Big Sleep - 1946",lauren bacall,,,,,,,,,
120372,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Two Guys From Milwaukee - 1946",lauren bacall,,,,,,,,,
120373,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: Confidential Agent - 1945",lauren bacall,,,,,,,,,
120374,"TV/ Movies: Born Sep 16, 1924, She starred in this movie: To Have and Have Not - 1944",lauren bacall,,,,,,,,,
120375,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: A Century of Cinema - 1994",jane fonda,,,,,,,,,
120376,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Stanley and Iris - 1990",jane fonda,,,,,,,,,
120377,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Old Gringo - 1988",jane fonda,,,,,,,,,
120378,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Morning After - 1986",jane fonda,,,,,,,,,
120379,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Agnes of God - 1985",jane fonda,,,,,,,,,
120380,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Dollmaker - 1984",jane fonda,,,,,,,,,
120381,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Rollover - 1981",jane fonda,,,,,,,,,
120382,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: On Golden Pond - 1981",jane fonda,,,,,,,,,
120383,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: 9 to 5 - 1980",jane fonda,,,,,,,,,
120384,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: No Nukes - 1980",jane fonda,,,,,,,,,
120385,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Electric Horseman - 1979",jane fonda,,,,,,,,,
120386,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The China Syndrome - 1979",jane fonda,,,,,,,,,
120387,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Comes a Horseman - 1978",jane fonda,,,,,,,,,
120388,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: California Suite - 1978",jane fonda,,,,,,,,,
120389,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Coming Home - 1978",jane fonda,,,,,,,,,
120390,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Fun With Dick and Jane - 1977",jane fonda,,,,,,,,,
120391,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Julia - 1977",jane fonda,,,,,,,,,
120392,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Blue Bird - 1976",jane fonda,,,,,,,,,
120393,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: A Doll's House - 1973",jane fonda,,,,,,,,,
120394,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Steelyard Blues - 1973",jane fonda,,,,,,,,,
120395,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Tout va bien - 1972",jane fonda,,,,,,,,,
120396,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Klute - 1971",jane fonda,,,,,,,,,
120397,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: They Shoot Horses, Don't They? - 1969",jane fonda,,,,,,,,,
120398,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Barbarella - 1968",jane fonda,,,,,,,,,
120399,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Histoires Extraordinaires/Spirits of the Dead - 1968",jane fonda,,,,,,,,,
120400,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Barefoot in the Park - 1967",jane fonda,,,,,,,,,
120401,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Hurry, Sundown - 1967",jane fonda,,,,,,,,,
120402,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Game Is Over - 1966",jane fonda,,,,,,,,,
120403,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Any Wednesday - 1966",jane fonda,,,,,,,,,
120404,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Chase - 1966",jane fonda,,,,,,,,,
120405,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: La Curee/The Game Is Over - 1966",jane fonda,,,,,,,,,
120406,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Cat Ballou - 1965",jane fonda,,,,,,,,,
120407,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Joy House - 1964",jane fonda,,,,,,,,,
120408,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Sunday in New York - 1964",jane fonda,,,,,,,,,
120409,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Les Felins/Joy House/The Love Cage - 1964",jane fonda,,,,,,,,,
120410,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: La Ronde/Circle of Love - 1964",jane fonda,,,,,,,,,
120411,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: In the Cool of the Day - 1963",jane fonda,,,,,,,,,
120412,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Walk on the Wild Side - 1962",jane fonda,,,,,,,,,
120413,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Period of Adjustment - 1962",jane fonda,,,,,,,,,
120414,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: The Chapman Report - 1962",jane fonda,,,,,,,,,
120415,"TV/ Movies: Born Dec 21, 1937, She starred in this movie: Tall Story - 1960",jane fonda,,,,,,,,,
120416,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Grumpier Old Men - 1995",sophia loren,,,,,,,,,
120417,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Ready To Wear (PrΩt-α-Porter) - 1994",sophia loren,,,,,,,,,
120418,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Saturday, Sunday and Monday - 1990",sophia loren,,,,,,,,,
120419,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Running Away - 1989",sophia loren,,,,,,,,,
120420,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Michael Jackson: The Legend Continues - 1989",sophia loren,,,,,,,,,
120421,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Fortunate Pilgrim - 1988",sophia loren,,,,,,,,,
120422,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Bellissimo: Images of the Italian Cinema - 1987",sophia loren,,,,,,,,,
120423,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Courage - 1986",sophia loren,,,,,,,,,
120424,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Qualcosa di Biondo - 1985",sophia loren,,,,,,,,,
120425,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Aurora - 1984",sophia loren,,,,,,,,,
120426,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Sophia Loren: Her Own Story - 1980",sophia loren,,,,,,,,,
120427,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: A Blood Feud - 1979",sophia loren,,,,,,,,,
120428,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Firepower - 1979",sophia loren,,,,,,,,,
120429,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Blood Feud - 1979",sophia loren,,,,,,,,,
120430,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Brass Target - 1978",sophia loren,,,,,,,,,
120431,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Cassandra Crossing - 1977",sophia loren,,,,,,,,,
120432,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Angela - 1977",sophia loren,,,,,,,,,
120433,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: A Special Day - 1977",sophia loren,,,,,,,,,
120434,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Verdict - 1974",sophia loren,,,,,,,,,
120435,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Gun Moll - 1974",sophia loren,,,,,,,,,
120436,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Brief Encounter - 1974",sophia loren,,,,,,,,,
120437,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Voyage - 1973",sophia loren,,,,,,,,,
120438,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: White Sister - 1973",sophia loren,,,,,,,,,
120439,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Mortadella/Lady Liberty - 1972",sophia loren,,,,,,,,,
120440,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Man of La Mancha - 1972",sophia loren,,,,,,,,,
120441,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Lady Liberty - 1971",sophia loren,,,,,,,,,
120442,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Priest's Wife - 1970",sophia loren,,,,,,,,,
120443,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Sunflower - 1970",sophia loren,,,,,,,,,
120444,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Ghosts--Italian Style - 1967",sophia loren,,,,,,,,,
120445,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Cinderella: Italian Style - 1967",sophia loren,,,,,,,,,
120446,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: A Countess From Hong Kong - 1967",sophia loren,,,,,,,,,
120447,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: More Than a Miracle - 1967",sophia loren,,,,,,,,,
120448,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Arabesque - 1966",sophia loren,,,,,,,,,
120449,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Judith - 1966",sophia loren,,,,,,,,,
120450,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Lady L - 1965",sophia loren,,,,,,,,,
120451,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Operation Crossbow - 1965",sophia loren,,,,,,,,,
120452,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Yesterday, Today and Tomorrow - 1964",sophia loren,,,,,,,,,
120453,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Marriage Italian Style - 1964",sophia loren,,,,,,,,,
120454,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Fall of the Roman Empire - 1964",sophia loren,,,,,,,,,
120455,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Condemned of Altona - 1963",sophia loren,,,,,,,,,
120456,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Madame - 1963",sophia loren,,,,,,,,,
120457,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Five Miles to Midnight - 1962",sophia loren,,,,,,,,,
120458,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Boccaccio '70 - 1962",sophia loren,,,,,,,,,
120459,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Madame Sans-GΩne - 1961",sophia loren,,,,,,,,,
120460,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: El Cid - 1961",sophia loren,,,,,,,,,
120461,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: Two Women - 1961",sophia loren,,,,,,,,,
120462,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: The Millionairess - 1960",sophia loren,,,,,,,,,
120463,"TV/ Movies: Born Sep 20, 1934, She starred in this movie: It Started in Naples - 1960",sophia loren,,,,,,,,,
